"","Conversion","Age","Distance","Angle","Location"
"66",1,22.45,35.8955667261034,7.61306915690317,"Away"
"67",0,28.43,40.5973577895202,-12.2980417087702,"Home"
"68",1,31.32,16.6751708742231,-12.8988442294739,"Home"
"69",1,29.48,10.9044629987329,-43.8408041714204,"Home"
"70",1,30.54,35.1982414163649,2.00644221122454,"Home"
"71",0,22.33,45.8188246143982,10.353646929862,"Away"
"72",1,28.46,35.8702629245818,18.3569161147597,"Away"
"73",0,25.19,49.5763987326063,-24.1529863008233,"Home"
"74",1,29.55,42.5100249727257,-13.1946519926297,"Away"
"75",1,26.19,12.8051672619767,16.1294891357176,"Away"
"76",0,23.89,51.7958788690157,2.55766074649863,"Away"
"77",0,23.54,57.9045299114659,17.9885451259457,"Away"
"78",1,23.07,41.684918096289,5.0126237082758,"Away"
"79",0,29.41,56.4997115544975,-6.11946690502563,"Away"
"80",1,22.76,23.6240557068959,-0.912233734381828,"Home"
"81",1,21.44,14.0696646785364,14.0444610909266,"Home"
"82",1,32.4,34.5773069676943,17.2555115335297,"Home"
"83",1,24.38,33.481233289931,11.3956886508014,"Home"
"84",0,31.52,55.2546123531647,-15.2463275702119,"Home"
"85",1,32.1,17.5686926487833,7.70967741988794,"Away"
"86",1,25.33,10.3966745804064,-9.24939077649698,"Away"
"87",1,24.97,34.202337663155,-12.7618806317338,"Away"
"88",1,22.4,27.6864016102627,-3.43911038807708,"Home"
"89",0,27.46,51.7871746816672,12.9672600720672,"Away"
"90",1,29.72,11.6486843232997,11.5604775946153,"Away"
"91",1,24.48,34.1794151021168,-9.95421265765015,"Home"
"92",0,23.13,49.5840108627453,-14.9838437472212,"Away"
"93",0,30.57,48.98312645033,11.7176720087598,"Home"
"94",1,21.86,19.0126930503175,14.5247744257918,"Home"
"95",1,20.75,32.4826946039684,-29.5637390226927,"Away"
"96",1,28.79,24.5003328565508,-0.372305538069119,"Home"
"97",0,23.28,40.1901417900808,-15.3838958546133,"Away"
"98",1,20.22,40.5899327155203,30.3149303149406,"Away"
"99",0,21.18,41.0455690836534,-12.2969677313452,"Away"
"100",1,31.83,19.325584792532,17.177598614437,"Away"
